company_name,company_profile_url,website,company_hq,US HQ State,US HQ City,year_founded,Tier,Prospecting Notes - focus on B2C telemarketing & collection recovery,USP,languages,size_employee_count,AI,Innovation Arm? (Y/N),core_offering,other_services,client_industries,client_size,channels_supported,delivery_model,onshore_delivery_footprint,nearshore_delivery_footprint,offshore_delivery_footprint,notable_clients,enterprise_clients,service_lines,company_name_source,notes,qualified,Geo Segment,Collections?,LinkedIn 1st Degree Connection?,Connection Name(s),Connection Role(s)
Flatworld Solutions,https://clutch.co/profile/flatworld-solutions,https://www.flatworldsolutions.com,India,New Jersey,,2004,Tier 2,"A good prospect. Upper end of MM (5,000 employees) Dedicated outbound service line, leaders based in US (COO in NYC) and are wanting to be AI frontrunners. Big Ent customers

Have three divisions. New Jersey, USA, is their frontline global office for sales and customer engagement. Flatworld Solutions Pvt Ltd, their Bangalore Operations Centre, and Flatworld Philippines, their Davao Operations center

They are both an IT-BPM and a BPO. As part of their IT-BPM services, they offer AI solutions (https://www.flatworldsolutions.com/data-science/conversational-ai-services.php). They don't look super sophisticated and it's not clear that they are using these tools in their own BPO offering

","AI savvy, multiple solutions",English,"Mid Market (1,000–5,000 employees)",Mid/high APO - have their own AI solutions but not cutting edge,Y,contact center,"KPO, IT-BPM","Financial Services, Healthcare, Technology",Mid Market ($10M-$1B),omni-channel,"onshore, nearshore, offshore",India,Philippines,Australia | Canada | United States,"Fujitsu, Rogers",Yes,"BPO, Call Center, Inbound Services, Answering Services, Inbound Appointment Scheduling, Virtual Receptionist, Outbound Services, B2C Telemarketing & Telesales, Customer Surveys & Market Research Calls, Third Party Verification",Clutch,"Flatworld Solutions (FWS) is a global company offering IT, Data Science, business consulting, and outsourcing solutions since 2002. The company was incorporated in 2004 with a focus on leveraging technology to help businesses streamline processes, enhance efficiency, boost productivity, improve effectiveness, save time, increase bottom lines, and negate global distances. Being in business for over 18 years, we are committed to ensuring that our clients reap the benefits of an increasingly connected world. Flatworld has earned its stripes through 14+ services for 18000+ global customers, generating millions in additional client revenue, and recruiting 5000+ employees who are efficient and enabled.",Y,"Segment 3, Segment 5",N,No,,
Focus Services,https://www.outsourceaccelerator.com/company/focus-services-el-salvador/,https://focusservices.com,United States,Utah,Roy,1995,Tier 2,"A good traditional BPO. Low APO score. c.3000 employees. Explict outbound service line. US HQd with delivery in central America and Philippines. 

However, website offering doesn't match their LinkedIn and other sources and link leads to NICE https://www.focusservices.com/","A hybrid” offering that combines the speed, flexibility, and performance of boutique operators with the global footprint, scale, and technology of big box operators.",Multi-lingual,"Mid Market (1,000–5,000 employees)",,N,contact center,IT-BPM,"Broad: BFSI (banking, mortgage, insurance), healthcare, logistics, telecom, manufacturing, real estate, eCommerce, utilities, automotive, education and more
",Enterprise (>$1B),omni-channel,nearshore,Utah,El Salvador,Philippines,,Yes,"BPO, Customer Service Outsourcing, B2C Telemarketing & Telesales",Outsource Accelerator,"Focus Services is a privately owned outsourcing company founded in 1995, specializing in multi-product telesales and customer relationship management with operations in El Salvador and other locations.",Y,"Segment 2, Segment 5",N,No,,
Global Contact Service International,https://clutch.co/profile/gcs-agents,https://gcsagents.com/,United States,North Carolina,Salisbury,2001,Tier 2,"A decent prospect. Fully US team. https://www.linkedin.com/company/global-contact-services/people/

Traditional BPO. c. 1000 employees. no collections. outbound service line. ",n/a,English,"Mid Market (1,000–5,000 employees)",Low APO score,no,contact center,KPO,"Broad: Retail & Consumer, Financial Services, Insurance, Federal & Local Government, Telecommunications & Cable, Hospitality & Transportation, Healthcare",Mid Market ($10M-$1B),omni-channel,onshore,North Carolina,,,MTA New York City Transit | New York State Department of Labor,Yes,"BPO, Call Center, Customer Service Outsourcing, Inbound Services, Outbound Services, Customer Surveys & Market Research Calls, Third Party Verification, Sales Outsourcing",Clutch,GCS is an outsource contact center organization that focuses on delivering effective communication with your customers. We manage voice and self-service channels to meet your required service levels in three unique ways: 1) Careful selection and on-going training of our associates with our F.E.E.D program. 2) Effective training in the art of empathy and soft skills. 3) Process driven management and smart use of technology to meet demand at the lowest possible cost.,Y,Segment 2,N,No,,
Global Strategic,,https://www.globalstrategic.com,"USA (Burlington, NC)",North Carolina,,,Tier 2,"Solid prospect. Traditional cost-focused BPO. No AI. COO Florida based https://www.linkedin.com/in/erikagarciallaneza/

Focused on mortgage servicing, real estate, title, property management, property preservation, IT, medical - lots of compliance certificates. 

US HQ with PH & Panama delivery. c.600 employees. They have outbound services but no collections. ","Emphasis on cost-effective, flexible outsourcing and high information security (ISO 27001, PCI DSS, HIPAA/SOC2)",English,,Low APO score. ,no,,,"Focused on mortgage servicing, real estate, title, property management, property preservation, IT, medical - lots of compliance certificates. ",,,"nearshore, offshore",,Panama,"Philippines (Mandaluyong, Clark, Bacolod, Victorias, Cebu)",No,,"Virtual Assistance/VA, call center/contact center, legal & business support, accounting/bookkeeping, real estate support, digital marketing, IT support, and recruitment & staffing solutions",,,,,N,No,,
Go Answer,https://clutch.co/profile/go-answer,https://www.goanswer.ai,United States,New York,Garden City,2012,Tier 2,"An ok prospect. Mostly support SMEs & Individuals and offer free trial on website. No explicit call out on outbound services. CEO NY based - https://www.linkedin.com/in/adamalovis/ 

High APO score - use agents for automation and efficiency. c. 300 employees. 

US-based specializing in 24/7 live virtual receptionists, bilingual (English/Spanish) answering services, web chat, and inbound customer support for small businesses and professional firms.  ","Boutique-grown outsourced call/contact services emphasizing 24/7 live receptionists, virtual phone answering, web chat, legal intake, and custom inbound support for SMBs and professionals
",English | Spanish,"Mid Market (1,000–5,000 employees)",High APO score. AI fully embedded in offerings,no,contact center,KPO,SMEs/freelancers,Small Business (<$10M),omni-channel,onshore,New York,St Lucia,,n/a,Unavailable,"Live answering/virtual receptionist, 24/7 inbound support, web chat, legal intake & appointment handling, enterprise solutions for customer communication, and CRM/calendar integrations",Clutch,"Go Answer is a leading bilingual outsourced solution for companies of all shapes and sizes, providing live, virtual receptionist and legal intake services to thousands of small businesses and professionals, 24/7/365.",Y,Segment 2,N,No,,
Harte Hanks,https://clutch.co/profile/harte-hanks,https://hartehanks.com,United States,Massachusetts,Chelmsford,1923,Tier 2,"A good but unique prospect. 

Mostly a huge traditional marketing/advertising company that works with huge enterprise customers (Bank of America. Blue Cross/Blue Shield etc)

They do offer SDRs & telesales and CX outsourcing. Director of Rev Ops in Texas: https://www.linkedin.com/in/stevenmarple/","Fully integrated solutions across data, marketing, customer care, fulfillment, and logistic

Data Services • Omnichannel Marketing • CRM • Demand Gen • CX Strategy • Customer Care • eCommerce Fulfillment • Print & Sample Fulfillment • Product Recalls • 3PL • TMS • Analytics • Direct Marketing • Supply Chain Optimization",English,"Mid Market (1,000–5,000 employees)",Low APO score. ,no,contact center,KPO,broad,Enterprise (>$1B),omni-channel,"onshore, offshore",Texas,,United Kingdom | Philippines,"Bank of America, Blue Cross/Blue Shield, Pfizer, FedEx, Sony, Volvo, IBM",Yes,Data Services • Omnichannel Marketing • CRM • Demand Gen • CX Strategy • Customer Care • eCommerce Fulfillment • Print & Sample Fulfillment • Product Recalls • 3PL • TMS • Analytics • Direct Marketing • Supply Chain Optimization,Clutch,"Harte Hanks is a global leader in customer experience, dedicated to partnering with clients to deliver seamless solutions. Their expertise spans exceptional print production, efficient fulfillment and logistics, engaging customer care, creative agency services, and data-driven analytics—all aimed at helping clients better serve, attract, and connect with their customers.",Y,Segment 2,N,Former only,DJ Winter; Ben Manashe; Robin Adair,"Former VP, Business Development at Harte Hanks; Former Campaign Team Manager at Harte Hanks; Former Sales Executive at Harte Hanks"
Helpware,https://clutch.co/profile/helpware-cx,https://helpware.com/,United States,Kentucky,Lexington,2015,Tier 1,"A great prospect. 

Really high APO score, tech savvy US based team. c. 3000 employees. US HQ + offshore delivery

They have different divisions. Helpware = the full company (BPO + tech + AI + media) + Helpware CX = the customer experience/outsourcing division within Helpware.",AI-enabled BPM partner,Mandarin | English | Spanish | Arabic | Russian | Portuguese | Japanese | German | Korean | French | Vietnamese | Italian | Polish | Ukrainian | Romanian | Dutch,"Mid Market (1,000–5,000 employees)",High APO score. AI fully embedded in offerings. They releasae a lot of AI though leadership,yes,IT-BPM,"KPO, contact center","Broad mix including healthcare, fintech, e-commerce, retail, SaaS & software
",Small Business (<$10M),omni-channel,"onshore, nearshore, offshore",Kentucky,Mexico | Puerto Rico,Georgia | Germany | Philippines | Ukraine,"DoorDash, Headspace",No,"Customer experience (CX) operations, inbound/outbound contact center, technical support, back-office support, live chat & email support, CX consulting, data operations/annotation/analytics","Clutch, Everest/IAOP/NelsonHall Lists","Helpware stormed into the business process management and outsourcing race in 2015 with a new kind of racing strategy—and an engine powered by people, purpose, and performance. In an industry defined by purely transactional relationships, we brought a pit crew mentality: Every team member and partner is essential, and every customer fuels the win.",Y,"Segment 2, Segment 4, Segment 5",N,No,,
Hugo Technologies Inc,https://www.outsourceaccelerator.com/company/hugo-technologies-inc/,https://hugoinc.com,United States,Illinois,Chicago,2017,Tier 1,"Great prospect. Medium APO score. Specifically offer outbound services: https://hugoinc.com/service/call-center-outsourcing/

Large Ent Clients - Hilton, Meta. US HQ + Africa delivery.https://www.linkedin.com/company/hugo-africa/ c.3000 employees","We’re Silicon Valley meets ECOWAS — English et en Français. We’re smart, dynamic, and ambitious. And we’re on a mission to win for our clients and for our people'",60+ languages,"Mid Market (1,000–5,000 employees)",Medium APO score. Have an AI offering but still human centric,,contact center,IT-BPM,"Gaming, Fintech, SaaS, Ecommerce, Crypto, Health & Wellness, Edtech, Online Subscriptions, Rewards & GPT Platforms",Small Business (<$10M),omni-channel,"onshore, offshore",Illinois,,Ethiopia | Kenya | Morocco | Nigeria | Senegal | South Africa | Tunisia,,Yes,"Customer support outsourcing (inbound/outbound), technical support, live chat/email support; digital operations (back-office, e-commerce platform support, order processing); trust & safety / community moderation; data & AI operations (data annotation & ML support); sales support/lead gen; CRM/marketplace operations",Outsource Accelerator,"Hugo Technologies Inc. is a next-generation BPO provider specializing in customer support, technical support, data and AI operations, trust and safety for tech and media companies, leveraging African talent for scalable, high-quality outsourcing solutions.",Y,Segment 2,N,No,,
Infocision Management Corporation,https://www.outsourceaccelerator.com/company/infocision-management-corporation/,https://www.infocision.com,United States,Ohio,Akron,1982,Tier 2,"A good prospect. A little bit old school. 

3000+ agents globally, inbound outbound platform handles as high as 40,000 calls a day. Agents across 30+ states in US (remote working), Puerto Rico, Mexico and the PH. Vast majority of agents are US based. Family-owned business, parents are founders and son is the current CEO.","Classic CX BPO services. ""Today, we remain a privately held, woman-owned business running marketing programs across the globe, focusing on long-term partnerships, not just short-term returns.""",English | Multilingual | Bilingual,"Mid Market (1,000–5,000 employees)","Low APO Score.

No explicit mention of using AI.",N,contact center,KPO,"Consumer, Financial Services, Technology, Telecom",Mid Market ($10M-$1B),voice only,"onshore, nearshore, offshore",United States (30+ states),Puerto Rico | Mexico,Philippines (Davao City),"InfoCision says they work with “the nation’s top brands,” including Fortune 500 companies and leading nonprofits",Yes,"BPO, Call Center, Sales Outsourcing, Customer Service Outsourcing, B2C Telemarketing & Telesales",Outsource Accelerator,"InfoCision Management Corporation is a leading provider of call center and business process outsourcing services, specializing in inbound/outbound sales, lead generation, fundraising, and multichannel customer engagement. Founded in 1982 in Akron, Ohio, it operates multiple call centers across Ohio, Pennsylvania, and West Virginia.",Y,"Segment 2, Segment 4, Segment 5",N,No,,
Intelogix,,https://intelogix.com,United States,Utah,Park City,,Tier 1,"A great prospect.

5K+ global employees, 13 years avg client tenure, US onshore (a real delivery center with hundreds of employees) + Canada and El Salvador nearshore + PH and Egypt offshore delivery. US-PH are the biggest delivery center based on LinkedIn profiles.

Explicitly offers customer acquisition services. Collections is a core line for InteLogix under Accounts Receivable Management (ARM), and they state they are known for both 1st-party and 3rd-party collections services (with “67+ years” collections experience). 

CEO Mario Baddour is based in Park City Utah: https://www.linkedin.com/in/mariobaddour/ 
COO John Yanez is based in Tempa, Florida: https://www.linkedin.com/in/johnyanez/ 
Chief Information Officer is based in LA: https://www.linkedin.com/in/andrew-latimer-b81b531/ ","Classic BPO services. Clean, modern website. CX services. Meaningful US presence.","English, Arabic, French, German, Portugese, Spanish, Turkish",,"High APO Score.

InteLogix’ on-site AI story is mostly “AI agent assist + real-time QA/compliance + analytics”:

LogixAssist is described as a real-time, AI-powered agent assistance tool that gives in-the-moment prompts, helps agents stay compliant, monitors live calls, gauges sentiment, and suggests next-best responses.

They also publicly note LogixAssist was recognized as an “AI-based Customer Service Solution of the Year” (AI Breakthrough Awards).",N,,,"Auto, Financial Services, Public Sector, Healthcare, Retail, Technology, Transportation & Tooling, Travel and Hospitality, Utilities, Wireless and Internet",,,"onshore, nearshore, offshore",US (multiple),"El Salvador, Canada","Philippines (Manila, Bacolod), Egypt (Cairo)",,,,,,,Segment 5,"Y (Collections is a core line for InteLogix under Accounts Receivable Management (ARM), and they state they are known for both 1st-party and 3rd-party collections services (with “67+ years” collections experience).)",No,,
KM² Solutions,https://www.outsourceaccelerator.com/company/km2-solutions/,https://km2solutions.com,United States,Pennsylvania,Exton,2004,Tier 1,"A good prospect. Nearshore outsourcing. Classic BPO offerings: CX, sales, back office, technical support, and collections. A few thousand agents. A signicant corporate team in the US. Corporate HQ: Exton, Pennsylvania. Tech hub in Dublin, Ohio.",A leader in helping US companies in nearshore outsourcing in the Caribbean and Latin America,English | Spanish,"Mid Market (1,000–5,000 employees)","Medium to high APO score.

KM² positions AI as AI-driven operational support (not replacing agents), including:

AI-driven technologies “from data analytics to virtual assistants” to enhance agent and customer experience

NLP-based analytics: their Services page says they use natural language processing, keywords, and tonality to “predict outcomes” and improve CX",No,contact center,"IT-BPM, KPO","Auto, Telecom, Communications, CPG, Financial Services, Healthcare, Insurance, Real Estate, Retail and eComm, Tech, Travel, Energy and Utilities, Home Services",Enterprise (>$1B),omni-channel,Nearshore,,"Barbados, Colombia, Dominican Republic, Grenada, Honduras, Saint Lucia",Saint Lucia | Barbados | Grenada,,Yes,"BPO, Customer Service Outsourcing, Inbound Appointment Scheduling, B2C Telemarketing & Telesales",Everest/IAOP/NelsonHall Lists,"KM² Solutions is a leading nearshore BPO provider with over two decades of experience, offering bilingual customer service, technical support, sales, and back-office solutions from strategic locations in the Caribbean and Latin America to clients ranging from SMEs to Fortune 100 companies.",Y,Segment 1,Y (KM² has a dedicated Accounts Receivable & Collections services brochure and describes “receivables management services” and collections performance metrics.),No,,
Liveops,https://clutch.co/profile/liveops,https://liveops.com,United States,Arizona,Scottsdale,2000,Tier 1,"A great prospect. A few thousand agents: Onshore US (biggest delivery center) + Nearshore MX + Offshore Ph delivery. Clean modern website. AI-forward. Service lines are classic BPO: CX, sales, back office. Explicitly offers collections under financial services","Modern, CX BPO with Onshore US + Nearshore MX + Offshore Ph delivery. Tech forward",English | Spanish,"Mid Market (1,000–5,000 employees)","High APO Score.

Homegrown AI product suite: https://liveops.com/why-liveops/technology-innovation/
AI Copilot: From intent-based routing to real-time agent assist and auto-wrap, our AI stack delivers faster, more consistent support.
AI QA: We automate QA with AI-driven analysis to improve consistency, reduce manual effort, and elevate quality.","Y (Head of Technology and Innovation: Liliana López-Sandoval, US based: https://www.linkedin.com/in/liliana-lopez-sandoval/)",contact center,,"Healthcare, Insurnace, retail, financial services, travel, energy and utilities, communications, government",Mid Market ($10M-$1B),omni-channel,"onshore, nearshore, offshore",Alabama | Arizona | Florida | Georgia | Illinois | Kentucky | Nevada | North Carolina | Ohio | Pennsylvania | Tennessee | Virginia | Washington,Mexico,Philippines,Unspeficied,Yes,"BPO, Call Center, Sales Outsourcing, Customer Service Outsourcing, Inbound Services, Answering Services, Virtual Receptionist, Outbound Services",Clutch,"Liveops offers an on-demand skilled workforce of onshore virtual agents for customer service and sales. With no call center overhead or wasted idle time, our pay-per-use model scales to meet seasonal or time of day spikes in demand. More than 400 organizations across service industries including retail, health care, insurance and telecom trust Liveops to deliver an enterprise-grade workforce, with faster program readiness, increased revenue, and greater customer satisfaction scores than traditional call centers. Solutions include customer service, outbound, inbound sales, lead generation and interactive voice response.",Y,"Segment 2, Segment 5","Y (Yes. Liveops explicitly includes “Billing and collections” as part of its financial services contact center solutions. They also describe collections-adjacent work in utilities programs (e.g., payment arrangements and even “small-balance collections within scope”).",No,,
MarketStar,https://clutch.co/profile/marketstar,https://www.marketstar.com,United States,Utah,Ogden,1988,Tier 1,"Utah-based outsourced sales specialist. ~4,000 global employees, founded in 1988, 60+ clients

MarketStar seems to be one of the most global outsourced sales center. It explicitly focuses on B2B sales. I wonder if our current product is applicable, but the company is super interesting.

After discussing this use case with Dyan's product lead, two main takeaways: 1) sometimes clients would pay for signals (e.g. prospects stayed on the phone for 5s/10s/30s, and not just conversion); 2) complexity is mostly in system integration and retrieving real-time calendar avail & meeting location; we can solve for this via following up via a text and a calender-booking link. So net-net, I think we should try approaching this target account. It's very unique and rather fascinating.","Full lifecycle B2B sales expert. Global footprint, Utah anchored.",100+ languages,"Mid Market (1,000–5,000 employees)","Medium APO Score.

Mentions the use of AI on website.",No,KPO,,"Software and SaaS, Advertising, Telecoms, IT Services, Hardware, Energy, Retail",Enterprise (>$1B),omni-channel,"onshore, offshore","Utah (Ogden), California (San Mateo)","Mexico (Mexico City), Colombia (Bogota), Canada (Montreal)","Bulgaria (Sofia) | India (Bengalore, Hyderabad) | Ireland (Dublin) | Philippines (Manila, Cebu) | Poland (Krakow)",,Yes,"BPO, Call Center, Sales Outsourcing, Customer Service Outsourcing, Inbound Services, Outbound Services",Clutch,"MarketStar is a Sales-as-a-Service® pioneer and recognized Leader in Everest Group’s 2025 B2B Sales Services PEAK Matrix®. With nearly 40 years of experience, the company helps global B2B enterprises achieve scalable, predictable growth through a people-led, AI-enabled delivery model built for global complexity. Their approach blends specialized sales talent, structured delivery frameworks, and AI-enabled workflows to execute full-funnel programs across the commercial value chain.",Y,"Segment 2, Segment 5",N,No,,
Nearsol Philippines Inc.,,https://nearsol.com,United States,Florida,Coral Gables,,Tier 2,"An okay prospect. 1-5K employees. Offers managed services in CX but also RPO services. Explicitly offers outbound sales and collections.

Have three senior team members in the US: CEO Victor Pereda (https://www.linkedin.com/in/victor-pereda/), President Victor Rogel (very empty linkedin profile: https://www.linkedin.com/in/victor-rogel-338a62a7/); Sr Director of Operations Theodore Shell (ex Alorica, could be our champion: https://www.linkedin.com/in/theodore-shell-91629820a/ based in Greenville, South Carolina)","Offers managed BPO services (white label customer service solutions), seat leasing services, and workforce management (RPO) business.","English, Spanish",,"High APO score.

NEARSOL’s public materials describe “AI” in a few concrete ways, mostly as enablement around CX delivery + recruiting, plus at least one security use case via a partner.

AI in recruiting: NEARSOL Intelligence Assistant (NIA)

NEARSOL says its recruitment process uses a “smart chatbot” to automate/standardize screening questions and “apply Artificial Intelligence” to applicant interactions to evaluate cultural fit for customer service work. They name this tool as the NEARSOL Intelligence Assistant (NIA).

AI in white-label delivery: AI-driven quality checks

In NEARSOL’s white-label BPO thought leadership, they explicitly reference “AI-driven quality checks” as part of how they scale white-label programs (paired with “cultural training tailored by market”). They don’t provide implementation details (vendor/model/workflow), but they do claim AI is used in QA/quality checking.

AI in security/compliance: AI-powered continuous authentication (partner case study)

A third-party case study from Twosense describes NEARSOL using AI-powered continuous authentication to secure workforce identity on shared workstations in a “financial services contact center clean room,” highlighting “invisible, always-on authentication” and reduced MFA friction.",No,,,"Food delivery and QSR, Electronics, Telecoms and Real Estate (origin)",,,"nearshore, offshore",,Guatemala; Colombia,Philippines (Metro Manila),Unspecifified,,,,,,Segement 5,Y (Their “NEARSOL Proven Process” page lists functions that include “SALES” and “COLLECTIONS.”: https://nearsol.com/nearsol-proven-process/?utm_source=chatgpt.com ),No,,
NexRep,https://clutch.co/profile/nexrep,https://nexrep.com,United States,Maine,Portland,2009,Tier 1,"A good prospect. Not a conventional BPO but a virtual network of thousands of US-based remote workers. Impressive enterprise logos (priceline, AAA, Glossier, Sweetgreen, Sprint, Rothy's).

Only question is given their business model (talent marketplace) whether they will be open to AI Autopilot (no if they monetize by % fee per agent; yes if they sign contracts directly with clients).","A virtual network of US remote agents. Services include customer care, inbound sales, and outbound sales. 100% US based, 100% remote.

",English,"Mid Market (1,000–5,000 employees)","Low APO Score.

Modern website, tech-enabled network, but focused on human-centric services and no explicit mention of AI.",N,KPO,,"Healthcare, Retail, Travel and Hospitality, Insurance, Energy and Utilities",Mid Market ($10M-$1B),,onshore,Virtual Network,,,,Yes,"BPO, Call Center, Sales Outsourcing, Customer Service Outsourcing, Inbound Services, Answering Services, Outbound Services, B2C Telemarketing & Telesales",Clutch,"NexRep has innovated the home agent contact center model by focusing on agent operations and sourcing that delivers professional level agents that match customer profiles. The result has been a fast growing company that attracts the best talent and delights clients and agents. NexRep is a virtual call center offering more than 50 years of combined experience in call center management. By utilizing an innovative work model and leveraging the fastest growing workforce in America, we are changing the face of the telesales industry.",Y,Segment 2,N,No,,
Open Access BPO,,https://www.openaccessbpo.com,United States,Nevada,Las Vegas,,Tier 1,"A great prospect. A boutique BPO that is leaning into AI. Delivery centers in the US (Vegas), PH and Taiwan. Leadership team is mostly Filipino. A few thousand agents.

Explicitly offers “Outbound Customer Retention & Collections Campaigns” as a capability they operate for clients. They describe making outbound calls for collections, which aligns with typical AR follow-up and receivables recovery workflows (often used in financial services, insurance, utilities, and consumer accounts).
","AI-forward boutique. PH-led, with delivery centes in Vegas, PH and Taipei.","Albanian, Arabic, Bahasa Indonesia, Bahasa Malaysia, Chinese, Danish, Dutch, Farsi, Filipino, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Spanish, Swedish, Thai, Vietnamese",,"High APO Score.

Open Access BPO describes using AI mostly as agent-assist + workflow automation + analytics/QA + “advanced detection” for trust & safety, rather than “AI replacing agents.” Do not use Voice AI or autopilot.",N,,,"fintech, ecommerce, SaaS, healthcare, logistics, and telecommunications",,,"onshore, offshore","United States (Las Vegas, NV)",,"Philippines (Makati, Davao); Taiwan (Taipei)",,,,,,,Segment 5,"Y (In their contact center / inbound & outbound services, they list “Outbound Customer Retention & Collections Campaigns” as a capability they operate for clients.

They describe making outbound calls for collections, which aligns with typical AR follow-up and receivables recovery workflows (often used in financial services, insurance, utilities, and consumer accounts).

This is clearly positioned as part of their omnichannel CX delivery rather than just staffing.)",Yes,Bobby Jusayan,Head of Talent Acquisition & Development at Open Access BPO
Office Beacon,https://www.outsourceaccelerator.com/company/office-beacon/,https://www.officebeacon.com,United States,California,Los Angeles,2001,Tier 2,"An okay prospect. Reason why it's not perfect is because it's unclear how much of its business is staffing vs. managed contact center services. Offers both remote staffing and outsourced delivery (contact center + KPO).

LA-based leadership team. Main delivery center is in India with some delivery in the Philippines and Mexico as well. 5,500+ full-time employees.

","5,500+ full-time employees, we support 10+ industry verticals and offer 150+ specialized services spanning: 

Sales & Marketing
Operations & Administration
Accounting & Finance
Customer Support & CX
HR, Recruiting & Talent Operations
Creative, Design & Engineering
IT, Software, Data & AI Support
Logistics, Property Management & More","English, Spanish","Mid Market (1,000–5,000 employees)","Low APO Score.

Modern website, but no explicit mention of tech or AI.",N,contact center,KPO,"Insurance, Print, Finance, Healthcare, Legal, Property Management",Small Business (<$10M),voice only,"onshore, nearshore, offshore",California,Mexico,India (main offshore delivery center) | Philippines | South Africa,"Polyconcept North America
Comda
PPAI
Aakron Line
The Magnet Group
National Pen (A VistaPrint Company)
Innovation Line
Best Contracting
Jaguar Freight
Global Roofing Group",Yes,"BPO, Call Center, Sales Outsourcing, Outbound Services, B2C Telemarketing & Telesales",Outsource Accelerator,"Office Beacon is a global outsourcing services and software provider founded in 2001, offering remote staffing and business process outsourcing solutions including call center support, accounting, and more to businesses across industries. Headquartered in Redondo Beach, California, it employs over 3,000 experts in offices worldwide.",Y,"Segment 2, Segment 4, Segment 5","Y (They explicitly include AR & Collections / payment collections in their finance/accounting-related offerings (e.g., “Accounts receivable…” and “payment collections… AR & Collections”).",No,,
Percepta,https://www.outsourceaccelerator.com/company/percepta/,https://www.percepta.com,United States,Michigan,Dearborn,2000,Tier 1,"A good prospect because: 1) We already have Toyota as a client and this is a nice expansion in the auto industry; 2) auto industry revenue generation is a very strong use case for outbound telemarketing calls; 3) its close ties with Ford and the possibility of landing Ford via percepta; 4) its close ties with TTEC, which is a ~60,000 employee global contact center software provider and contact center operator.

A global joint venture between Ford and TeleTech Holdings/TTEC (a NASDAQ listed CX tech solutions vendor). Specialized, boutique CX contact center focusing on automotive and mobility industry with 25 years of industry expertise. 

4,000+ global team, high team retention rate. Modern clean website. From their linkedin, it seems their delivery model is mostly onshore with the largest groups of employees in Florida and Texas. However, 2024 press release shows that Percepta operates worldwide from locations in Melbourne and Sydney, Australia; Toronto, Canada; Glasgow, Scotland; Coventry and Warley, England; Koeln, Germany; Bangkok, Thailand and Pretoria, South Africa as well as Melbourne, Florida; Dearborn, Michigan; and Rockleigh and Mahwah, New Jersey in the United States","Main customer personas: Consumer (relevant outbound use cases: Exploration and Decision Support, Purchase Process); Dealerships (relevant outbound use cases: Marketing and Sales Enablement; Financing and Assistance Programs); Business and Fleet

Revenue Generation can be a major outbound use case for us: https://www.percepta.com/services/revenue-generation/ ","17 languages: English, French","Mid Market (1,000–5,000 employees)","Medium APO Score.

Clean and modern website. Has a dedicated section about CX technology: https://www.percepta.com/enablers/cx-technology/. Does not explicitly mention AI. Definitely no Voice AI technology.",N,contact center,KPO,Automotive & Mobility Industry only,Enterprise (>$1B),voice only,"onshore, offshore","Melbourne, Florida; Dearborn, Michigan; and Rockleigh and Mahwah, New Jersey",,"Melbourne and Sydney, Australia; Toronto, Canada; Glasgow, Scotland; Coventry and Warley, England; Koeln, Germany; Bangkok, Thailand and Pretoria, South Africa",Ford Motor Company,Yes,"BPO, Customer Service Outsourcing, Outbound Services, B2C Telemarketing & Telesales",Outsource Accelerator,"Percepta is a global customer relationship organization providing outsourced customer contact services, specializing in the automotive industry. Formed in 2000 as a joint venture between TeleTech Holdings and Ford Motor Company, it offers round-the-clock support including inbound/outbound calls, telemarketing, and warranty administration.",Y,Segment 2,N (They do inbound collections inquiry. Their Customer Service offering explicitly includes “Payments & Collections” (positioned as handling customer inquiries/concerns related to payments and collections).,No,,
